Subject,bpm,sdnn,rmssd,pnn50,hr_mad,lf,hf,lf/hf,p_total,lf_nu,hf_nu,mean_eda,mean_tonic,scr_peak_count,scr_sum_amp,scr_mean_amp,scr_mean_risetime,scr_mean_recoverytime
1,-0.11907252695892535,-0.2614226084330264,-0.19717131941816196,-0.4466795414181574,-0.31822902250157264,1.1833566242579991,5.428775444248068,-0.44669905748764177,7.059340156906136,-0.4073621144412353,-0.3036171686365968,-0.44718263608820297,-0.44718263867136865,-0.4215269232789463,-0.44679005746104583,-0.4471782290472818,-0.44596333804981064,-0.4454195786862767
1,-0.13997674855747558,-0.18520788178890848,-0.15273388102430985,-0.44663060188279524,-0.24657398589129684,6.939537353966209,7.193978409316423,-0.44543480143858744,14.5807238516827,-0.3570425457247668,-0.35393673735306536,-0.4471966269129461,-0.4471975785767536,-0.4068519717811618,-0.446793799536256,-0.44718836035893517,-0.44622539075512824,-0.445603015579999
1,-0.1615725371615123,-0.17826490512397902,-0.18760496443203675,-0.44670780596264464,-0.26090499321335203,3.4866888037042707,10.981044855539292,-0.44657665170571936,14.914941747643633,-0.4002340753997313,-0.3107452076781009,-0.4472047625931574,-0.4472058616253228,-0.41785818540450015,-0.4469397092484421,-0.4471913147030925,-0.4462622419168135,-0.4457864524737213
1,-0.07768799822634828,-0.2845278769650849,-0.23835807864631559,-0.446742216923949,-0.3898840591118485,-0.3095673952744249,4.547982951516229,-0.447157543023536,4.685623644641874,-0.4422890919260137,-0.2686901911518185,-0.4472031956665929,-0.44720248381526223,-0.40868634071838483,-0.44681538144310534,-0.4471893880687851,-0.4463782548332301,-0.4465202000486105
1,-0.08924544721380148,-0.282816269065811,-0.25128872443769557,-0.4466704285391589,-0.3325600298236278,-0.1109183526586515,2.604581502143226,-0.44700595144834004,2.9408712378846436,-0.42900073887418116,-0.28197854420365104,-0.4471990258387243,-0.44719945858114307,-0.42703003009061546,-0.44673745720027414,-0.4471653037455423,-0.4462909039314576,-0.44589782487348123
2,-0.26515864852867654,-0.229025925200717,-0.20926274065832925,-0.37568514404375686,-0.320655028272442,0.7755472297914586,4.32156076266272,-0.3757124840553269,5.4731099187434955,-0.3527561229088867,-0.28117434723374746,-0.37601233379059196,-0.3760122546862033,-0.34412211303159695,-0.37570911109766286,-0.3759906641665609,-0.37540020616728725,-0.3752726495154474
2,-0.26142385697958154,-0.2224499183239635,-0.17479721505627846,-0.375724106565938,-0.320655028272442,0.15853641339047062,3.2486065709420573,-0.37582779782866815,3.783144910621844,-0.3608269992471668,-0.27310347089546727,-0.37600502935059144,-0.376006141594029,-0.35120651597775693,-0.37565973223684845,-0.3759848165866934,-0.3752934859947008,-0.37520071405135824
2,-0.2514229822180149,-0.19066268254148902,-0.1641479705100073,-0.37571472076447254,-0.3022060622668171,0.6149300689421225,5.982013269451373,-0.37581790236229096,6.972945264682812,-0.36008091210856963,-0.2738495580340645,-0.37601502665285486,-0.376015512445416,-0.333495508612357,-0.37566298116174746,-0.37599224214281485,-0.3754958975074483,-0.37536939031198113
4,-0.2718958016369198,-0.25709337599184146,-0.25921706539258843,-0.437226862125602,-0.3487789486066547,0.9981207616218967,2.702516261556613,-0.43675243129828367,4.138256006838139,-0.3781529445450087,-0.30755961466123743,-0.4374620262333957,-0.4374291364233973,-0.4053996642804169,-0.41197147904289355,-0.436110306917468,-0.43577947234559083,-0.4356645028884635
4,-0.2712698254530084,-0.3082405194457709,-0.25956287065662154,-0.4370728935006592,-0.3487789486066547,0.534581704488357,2.288945468272685,-0.43694320013997506,3.2611461564206707,-0.3878032410507328,-0.2979093181555134,-0.43751728172011695,-0.4374779838258111,-0.4035044101992868,-0.40556166755158013,-0.4358380216536262,-0.4360396052586871,-0.4355460495083928
4,-0.2737051171835107,-0.3126673829270653,-0.2827441566618372,-0.4370574268948496,-0.37839229362431276,-0.01758421570751398,2.5264429094843424,-0.43735040876582554,2.9464776774364574,-0.41409505134027413,-0.271617507865972,-0.43789544335245933,-0.437918877737524,-0.40919017244267714,-0.4131467024426605,-0.43598749824516436,-0.4360080176906683,-0.4358184922825553
6,-0.33761150402569795,-0.32856040981989226,-0.3170977392422072,-0.36041379749215535,-0.33810498531316385,-0.3410928941157976,0.3138206870917012,-0.3605079862522731,0.33324404195912216,-0.35971310923277905,-0.33263297123598806,-0.3604952952723695,-0.36049625279902614,-0.3582213355834049,-0.3597121079439881,-0.3604157313533147,-0.35996044964420115,-0.36013376341658293
6,-0.33778361624921593,-0.3224025214149094,-0.3120698499249657,-0.360398128440581,-0.333622732579153,0.4055503455732998,1.7280356401747627,-0.3604110291594902,2.4941022347312813,-0.35281795014299266,-0.3395281303257744,-0.36047931304778125,-0.36047760326934974,-0.3585081997583816,-0.35968814281318257,-0.36039794810178477,-0.36007570757164714,-0.3601576687644976
6,-0.3377122791449328,-0.32466103727552587,-0.3197091066297173,-0.36040969943251283,-0.3425872380471748,-0.31265311328666445,1.4401942521972377,-0.36050862409352946,1.4880573878937917,-0.359773502323876,-0.3325725781448911,-0.36052856037429554,-0.36052703559154126,-0.3585081997583816,-0.3595166354224561,-0.36037344704596674,-0.3601474236153913,-0.36013717846628496
6,-0.3377606152717448,-0.32744291892969535,-0.32221986483636944,-0.3604146512545809,-0.3470694907811857,0.2652575831696554,0.15843285112042163,-0.3601703343375496,0.7842066832732955,-0.34483454216804343,-0.3475115383007236,-0.3604512986745498,-0.360447327889888,-0.3585081997583816,-0.3602655428455275,-0.3604804338206912,-0.36004497212432823,-0.36010029592950227
