Subject,bpm,sdnn,rmssd,pnn50,hr_mad,lf,hf,lf/hf,p_total,lf_nu,hf_nu,mean_eda,mean_tonic,scr_peak_count,scr_sum_amp,scr_mean_amp,scr_mean_risetime,scr_mean_recoverytime
1,-0.3546087555503381,-0.6345890655983834,-0.5082168455540891,-0.998960430887442,-0.7463183829189561,2.207065349565447,10.557139091679067,-0.9989988159387786,13.764204441244516,-0.9216292113946535,-0.7175791554234174,-0.9999499392898554,-0.9999499443705376,-0.9494891713545299,-0.9991777986306337,-0.9999412713307595,-0.9975517710605512,-0.9964822815764761
1,-0.3957240846310593,-0.4846866378998824,-0.4208153656925182,-0.9988641744881309,-0.6053841512072651,13.52857109587233,14.029016791640096,-0.9973083190421806,28.557587887512426,-0.8226585026684767,-0.8165498641495942,-0.9999774570503572,-0.9999793288239812,-0.9206258406999756,-0.9991851587063476,-0.9999611980336356,-0.9980671876793825,-0.9968430732096581
1,-0.4381996176723966,-0.4710308904695098,-0.48940132393788055,-0.9990160228185948,-0.6335709975496033,6.737358912216739,20.495810346764774,-0.9987580629415239,29.214942131119034,-0.9076094752609727,-0.7315988915570982,-0.9999934586588171,-0.9999956202829151,-0.9422733386908914,-0.9993921777826026,-0.9999670087657727,-0.9981396681414056,-0.9972038648428402
1,-0.2732118707312222,-0.6800335091867493,-0.5892247487400851,-0.9990837037887443,-0.8872526146306472,-0.7292823190722443,8.82475824124789,-0.999900585162673,9.095475922175646,-0.9903251045333482,-0.6488832622847227,-0.9999903767597357,-0.9999889766596851,-0.9242337570317949,-0.9992276069361522,-0.999963219377912,-0.9983678473737008,-0.9985616654980738
1,-0.2959435623281838,-0.6766670445851354,-0.6146573033287576,-0.9989425072820529,-0.7745052292612943,-0.33857077211446746,5.002392038793209,-0.9996024282822236,5.663821266678742,-0.9641889958009,-0.6750193710171708,-0.9999821753615531,-0.9999830264980984,-0.9603129203499878,-0.9990743421579222,-0.9999158492870838,-0.9981960418340904,-0.9974229169058433
1,-0.48106346279616613,-0.46057780579612806,-0.44376233443702057,-0.998797361222727,-0.6053841512072651,4.636413043408245,12.925094469156996,-0.9985396359990782,18.56150751256524,-0.8960422316167128,-0.7431661352013581,-0.999909557209667,-0.9999119925308135,-0.9855683346727229,-0.9989250233721987,-0.9998614409322425,-0.9969286404217689,-0.9953789678767904
2,-0.6710728911222634,-0.5638491382681668,-0.5052019448156008,-0.9990599495947706,-0.8357582388590635,2.4172188182506775,12.940003807768973,-0.999141081000699,16.357222626019652,-0.9310181451330166,-0.7185994310996523,-1.0000308842301873,-1.0000306494881408,-0.9053967455828206,-0.9991310717585038,-0.9999665796830194,-0.9982143972634935,-0.9978358732649665
2,-0.6846558186094021,-0.5670813892870901,-0.4233386539924907,-0.9991701468910773,-0.8905054925727091,-0.5830567880095379,16.313266948694377,-0.9999156198690728,16.73021016068484,-0.9917604150279902,-0.6578571612046787,-1.0000297488309133,-1.0000293333613024,-0.9789770545739601,-0.999088871398236,-0.9998481452330392,-0.99474426364349,-0.9928463588480836
2,-0.6763477817571869,-0.5167890623770973,-0.33350781841862076,-0.9993716548984705,-0.9452527462863545,22.03376540067811,13.210419048372403,-0.9946940873883885,38.368406327922436,-0.7242644796837804,-0.9253530965488885,-0.9999875421441244,-0.9999849374998008,-0.9789770545739601,-0.9987865935585349,-0.9997598121651692,-0.9935763222309323,-0.9919704027886652
2,-0.6599899079109798,-0.5443348567201095,-0.4029255964319396,-0.9991755707676062,-0.8357582388590635,0.5862409900477695,9.756015320861856,-0.9994832742923916,11.342256310909624,-0.9549684475211594,-0.6946491287115095,-1.0000092083254333,-1.0000125089046448,-0.9264196910088605,-0.9989845401306461,-0.9999492270065322,-0.997897705457396,-0.9976224049815787
2,-0.6303123407365947,-0.45000632569522675,-0.3713239937808422,-0.9991477184286741,-0.7810109851454181,1.940587854049053,17.867391859809437,-0.9994539095242956,20.80797971385849,-0.9527544360770049,-0.696863140155664,-1.0000388752912297,-1.0000403168792618,-0.8738623274437608,-0.9989941813059665,-0.9999712623230276,-0.9984983610409971,-0.9981229513012465
2,-0.6356022792819757,-0.3923320909212276,-0.31086413315983896,-0.9992623527920688,-0.7810109851454181,11.68546410578324,14.002068305571328,-0.9970372327538684,26.687532411354564,-0.8394669631817738,-0.8101506130508951,-1.0000706786372178,-1.00006967755049,-0.9509464606725736,-0.9991622211584765,-0.9999401586541768,-0.9976224049815787,-0.9979853010633379
3,-0.6078199018854997,-0.5620593051795917,-0.6055288596192159,-0.999600268156707,-0.8286863528744126,9.132321346951242,17.34386629926615,-0.9979813140568717,27.47618764621739,-0.869959751982911,-0.7645711341491693,-1.000209341762206,-1.0001906302822081,-0.981726544306604,-0.9952359414438189,-0.9990471882887638,-0.9947006978489152,-0.9936042905073114
